id_data,data,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia,fim_semana
163,2022-06-12,2022,2,6,Junho,23,6,Domingo,1
164,2022-06-13,2022,2,6,Junho,24,0,Segunda,0
165,2022-06-14,2022,2,6,Junho,24,1,Terca,0
166,2022-06-15,2022,2,6,Junho,24,2,Quarta,0
167,2022-06-16,2022,2,6,Junho,24,3,Quinta,0
168,2022-06-17,2022,2,6,Junho,24,4,Sexta,0
169,2022-06-18,2022,2,6,Junho,24,5,Sabado,1
170,2022-06-19,2022,2,6,Junho,24,6,Domingo,1
171,2022-06-20,2022,2,6,Junho,25,0,Segunda,0
172,2022-06-21,2022,2,6,Junho,25,1,Terca,0
173,2022-06-22,2022,2,6,Junho,25,2,Quarta,0
174,2022-06-23,2022,2,6,Junho,25,3,Quinta,0
175,2022-06-24,2022,2,6,Junho,25,4,Sexta,0
176,2022-06-25,2022,2,6,Junho,25,5,Sabado,1
177,2022-06-26,2022,2,6,Junho,25,6,Domingo,1
178,2022-06-27,2022,2,6,Junho,26,0,Segunda,0
179,2022-06-28,2022,2,6,Junho,26,1,Terca,0
180,2022-06-29,2022,2,6,Junho,26,2,Quarta,0
181,2022-06-30,2022,2,6,Junho,26,3,Quinta,0
182,2022-07-01,2022,3,7,Julho,26,4,Sexta,0
183,2022-07-02,2022,3,7,Julho,26,5,Sabado,1
184,2022-07-03,2022,3,7,Julho,26,6,Domingo,1
185,2022-07-04,2022,3,7,Julho,27,0,Segunda,0
186,2022-07-05,2022,3,7,Julho,27,1,Terca,0
187,2022-07-06,2022,3,7,Julho,27,2,Quarta,0
188,2022-07-07,2022,3,7,Julho,27,3,Quinta,0
189,2022-07-08,2022,3,7,Julho,27,4,Sexta,0
190,2022-07-09,2022,3,7,Julho,27,5,Sabado,1
191,2022-07-10,2022,3,7,Julho,27,6,Domingo,1
192,2022-07-11,2022,3,7,Julho,28,0,Segunda,0
193,2022-07-12,2022,3,7,Julho,28,1,Terca,0
194,2022-07-13,2022,3,7,Julho,28,2,Quarta,0
195,2022-07-14,2022,3,7,Julho,28,3,Quinta,0
196,2022-07-15,2022,3,7,Julho,28,4,Sexta,0
197,2022-07-16,2022,3,7,Julho,28,5,Sabado,1
198,2022-07-17,2022,3,7,Julho,28,6,Domingo,1
199,2022-07-18,2022,3,7,Julho,29,0,Segunda,0
200,2022-07-19,2022,3,7,Julho,29,1,Terca,0
201,2022-07-20,2022,3,7,Julho,29,2,Quarta,0
202,2022-07-21,2022,3,7,Julho,29,3,Quinta,0
203,2022-07-22,2022,3,7,Julho,29,4,Sexta,0
204,2022-07-23,2022,3,7,Julho,29,5,Sabado,1
205,2022-07-24,2022,3,7,Julho,29,6,Domingo,1
206,2022-07-25,2022,3,7,Julho,30,0,Segunda,0
207,2022-07-26,2022,3,7,Julho,30,1,Terca,0
208,2022-07-27,2022,3,7,Julho,30,2,Quarta,0
209,2022-07-28,2022,3,7,Julho,30,3,Quinta,0
210,2022-07-29,2022,3,7,Julho,30,4,Sexta,0
211,2022-07-30,2022,3,7,Julho,30,5,Sabado,1
212,2022-07-31,2022,3,7,Julho,30,6,Domingo,1
213,2022-08-01,2022,3,8,Agosto,31,0,Segunda,0
214,2022-08-02,2022,3,8,Agosto,31,1,Terca,0
215,2022-08-03,2022,3,8,Agosto,31,2,Quarta,0
216,2022-08-04,2022,3,8,Agosto,31,3,Quinta,0
217,2022-08-05,2022,3,8,Agosto,31,4,Sexta,0
218,2022-08-06,2022,3,8,Agosto,31,5,Sabado,1
219,2022-08-07,2022,3,8,Agosto,31,6,Domingo,1
220,2022-08-08,2022,3,8,Agosto,32,0,Segunda,0
221,2022-08-09,2022,3,8,Agosto,32,1,Terca,0
222,2022-08-10,2022,3,8,Agosto,32,2,Quarta,0
223,2022-08-11,2022,3,8,Agosto,32,3,Quinta,0
224,2022-08-12,2022,3,8,Agosto,32,4,Sexta,0
225,2022-08-13,2022,3,8,Agosto,32,5,Sabado,1
226,2022-08-14,2022,3,8,Agosto,32,6,Domingo,1
227,2022-08-15,2022,3,8,Agosto,33,0,Segunda,0
228,2022-08-16,2022,3,8,Agosto,33,1,Terca,0
229,2022-08-17,2022,3,8,Agosto,33,2,Quarta,0
230,2022-08-18,2022,3,8,Agosto,33,3,Quinta,0
231,2022-08-19,2022,3,8,Agosto,33,4,Sexta,0
232,2022-08-20,2022,3,8,Agosto,33,5,Sabado,1
233,2022-08-21,2022,3,8,Agosto,33,6,Domingo,1
234,2022-08-22,2022,3,8,Agosto,34,0,Segunda,0
235,2022-08-23,2022,3,8,Agosto,34,1,Terca,0
236,2022-08-24,2022,3,8,Agosto,34,2,Quarta,0
237,2022-08-25,2022,3,8,Agosto,34,3,Quinta,0
238,2022-08-26,2022,3,8,Agosto,34,4,Sexta,0
239,2022-08-27,2022,3,8,Agosto,34,5,Sabado,1
240,2022-08-28,2022,3,8,Agosto,34,6,Domingo,1
241,2022-08-29,2022,3,8,Agosto,35,0,Segunda,0
